© 2000-2023 QIAGEN. All rights reserved.

Categories	Functions	Diseases or Functions Annotation	p-value	B-H p-value	Predicted Activation State	Activation z-score	Molecules	# Molecules
Cellular Movement	scattering	Scattering of cells	2,43E-02	5,98E-01	 	-0,708	ANXA2,CFL1,CSK,MTCH2,RAC1,RHOA,TMSB10/TMSB4X	7
Cancer,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities	hairy cell leukemia	Hairy cell leukemia	2,43E-02	5,98E-01	 	 	ARL6IP5,CFL1,FGR,ITGAX,MRPL51,MS4A1,RFTN1	7
Cell-To-Cell Signaling and Interaction,Cellular Function and Maintenance,Inflammatory Response	phagocytosis	Phagocytosis of leukemia cell lines	2,43E-02	5,98E-01	Decreased	-2,449	CD47,HMOX1,PSMD4,RHOG,SPI1,TNF,VIM	7
Cardiovascular System Development and Function,Tissue Morphology	permeability	Permeability of vasculature	2,43E-02	5,98E-01	 	0,128	GSN,LSP1,PLAC8,RAC1,TNF,UCP2,VASP	7
Cell-To-Cell Signaling and Interaction,Cellular Assembly and Organization	cell-cell adhesion	Cell-cell adhesion of tumor cell lines	2,43E-02	5,98E-01	 	-0,485	CXCR3,GOLPH3,LY6E,NME1,TNF,ZEB2,ZYX	7
Free Radical Scavenging,Molecular Transport	release	Release of reactive oxygen species	2,43E-02	5,98E-01	 	-1,135	ANXA2,FGR,GRN,HCK,ITGB2,RAC1,TNF	7
Hematological System Development and Function,Humoral Immune Response,Immune Cell Trafficking,Inflammatory Response,Tissue Development	accumulation	Accumulation of B lymphocytes	2,43E-02	5,98E-01	 	-1,166	CD19,CD99,ITGB2,PTPN1,TLN1,TNF,TSC22D3	7
Cellular Assembly and Organization,Cellular Compromise	depolymerization	Depolymerization of filaments	2,43E-02	5,98E-01	 	-1,709	CAP1,CFL1,CIB1,GSN,ILK,PLEK,WDR1	7
Nutritional Disease,Organismal Injury and Abnormalities	body mass index	Body mass index	2,43E-02	5,98E-01	 	 	CXCR4,HHEX,NCOA3,PTPN1,TNF,TNFRSF1B,UCP2	7
Organismal Functions	percentage body fat	Percentage body fat	2,43E-02	5,98E-01	 	0,447	CXCR4,PTPN1,SAT1,TERF2IP,TNF,TSC22D3,UBL5	7
Cellular Movement	emigration	Emigration of cells	2,43E-02	5,98E-01	 	-0,780	CNN2,CXCR4,GSN,ITGB2,LSP1,RHOA,TNF	7
Cell-To-Cell Signaling and Interaction	binding	Binding of carcinoma cell lines	2,43E-02	5,98E-01	 	0,277	CD82,ILK,PKM,RAC1,YBX1,ZEB2,ZYX	7
Cell Death and Survival	activation-induced cell death	Activation-induced cell death	2,43E-02	5,98E-01	Decreased	-2,586	MAP4K1,PARP1,RAC1,RAC2,TNF,TNFRSF1B,TSC22D3	7
Cellular Function and Maintenance,Tissue Development	function	Function of bone cells	2,43E-02	5,98E-01	 	 	CD47,CD68,GSN,HCST,PTPRC,TCIRG1,TNF	7
Dermatological Diseases and Conditions,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities	dermatitis	Dermatitis	2,43E-02	5,98E-01	 	1,982	BCAS4,CAPZB,CD47,CFL1,CSK,CXCR4,DUSP1,EEF1A1,FABP5,FGR,FKBP1A,FLNA,GSN,H3-3A/H3-3B,HCK,HLA-DQA1,HLA-DQB1,HLA-DRA,IFI30,ITGB2,ITGB7,JAK1,JPT1,MALT1,MS4A1,OAS1,PPIA,PSAP,PSMB2,PTPN6,PTPRC,S100A11,SPI1,SYK,TNF,TPI1,TPM3,VCP,ZYX	39
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	cellular infiltration	Cellular infiltration by leukocytes	2,49E-02	5,98E-01	 	-0,556	ANXA2,CD19,CD47,CORO1A,CUX1,CXCR3,DBNL,DUSP1,FABP5,HCK,HMOX1,IGF2BP3,ILK,ITGB2,MALT1,PARP1,PIKFYVE,PKM,PPIA,PREX1,PSMB8,PTPN1,PTPN6,RAC2,S100A10,SPI1,TCIRG1,TNF,TNFRSF1B,TRAPPC1,UCP2,VASP,YBX1,ZDHHC12	34
Cancer,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities	acute lymphoblastic leukemia	Acute lymphoblastic leukemia	2,49E-02	5,98E-01	 	 	ACP5,ACTG1,ADD3,BTG1,CD19,CD52,CD79A,CHD4,CSK,CXCR4,FKBP1A,GOLPH3,GPI,HCK,HHEX,HLA-DQA1,ITGB2,JAK1,LY6E,MS4A1,MYO1G,NAA50,NCOA3,PARP1,PPIA,PSMB2,PTPN1,PTPRC,RHOA,RNPEPL1,SLC44A2,SNRNP25,SYK,ZEB2	34
Organismal Injury and Abnormalities,Organismal Survival	organismal death	Organismal death	2,51E-02	5,98E-01	Increased	7,358	ACTB,ACTG1,ADK,ANXA2,ARF5,ARHGDIB,ARID3A,ATP2B1,ATP5MF,BLOC1S1,BLOC1S2,CAP1,CAPNS1,CAPZB,CD19,CD47,CD68,CD82,CDK2AP1,CFL1,CHD4,CHMP2A,CKS2,CLTA,CRIP1,CSK,CSRP1,CUX1,CXCR3,CXCR4,CYTOR,DBI,DDX17,DUSP1,EFHD2,EHD3,EIF4A1,EIF4E2,EIF6,FABP5,FDFT1,FKBP1A,FLNA,FTL,FUT8,GNAI2,GNG5,GRB2,GRN,GSN,H1-2,H3-3A/H3-3B,HCK,HCST,HHEX,HMGA1,HMOX1,HOPX,HSBP1,IDS,IFI30,IGF2BP3,IKZF3,ILK,ITGAX,ITGB2,JAK1,LAT2,LCP1,LY6E,MAD1L1,MALT1,MEF2A,MEF2C,MTSS1,MYL6,NAA50,NCOA3,NDUFAB1,NEAT1,NEDD8,NOP53,PAK2,PARP1,PCLAF,PDLIM1,PEA15,PFN1,PIKFYVE,PKM,PLD4,POU2F2,PPIA,PRDX1,PSAP,PSMD4,PTPN1,PTPN6,PTPRC,PYCARD,RAC1,RAC2,RHOA,S100A10,S100A11,SEPTIN6,SEPTIN7,SMARCC1,SPI1,SPTAN1,SREK1,SUB1,SUMO2,SUPT4H1,SYK,TAF10,TAGLN2,TCF4,TCIRG1,TKT,TLE5,TLN1,TNF,TNFRSF1B,TPM3,TPT1,TXNIP,UBE2L3,UCP2,UGCG,UNC93B1,VASP,VCP,VDAC1,VIM,WASF2,WDR1,WIPF1,YBX1,YWHAE,ZDHHC12,ZEB2	142
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	cell movement	Cell movement of peripheral blood monocytes	2,52E-02	5,98E-01	Decreased	-2,000	ANXA2,CD99,PPIA,TNF	4
Inflammatory Response,Organismal Injury and Abnormalities	chronic inflammation	Chronic inflammation	2,52E-02	5,98E-01	 	 	HMOX1,ITGB7,TNF,VSIR	4
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	mobilization	Mobilization of mononuclear leukocytes	2,52E-02	5,98E-01	 	-1,000	CXCR3,CXCR4,ITGB2,TNF	4
Cell Signaling,Small Molecule Biochemistry	quantity	Quantity of nitric oxide	2,52E-02	5,98E-01	 	0,747	HSPA4,TNF,TNFRSF1B,UCP2	4
Cellular Assembly and Organization,Cellular Function and Maintenance,Protein Trafficking	sequestration	Sequestration of G-actin	2,52E-02	5,98E-01	 	 	GSN,PFN1,TMSB10/TMSB4X,TWF2	4
Connective Tissue Disorders,Hematological Disease,Organismal Injury and Abnormalities	poikilocytosis	Poikilocytosis	2,52E-02	5,98E-01	 	1,980	PRDX1,RAC1,RAC2,RHOA	4
Cell Morphology,Cellular Assembly and Organization,Cellular Development,Cellular Function and Maintenance,Cellular Growth and Proliferation	formation	Formation of membrane processes	2,52E-02	5,98E-01	 	 	FKBP1A,RAC1,RHOA,RHOG	4
Cell Morphology,Cellular Assembly and Organization	morphology	Morphology of endosomes	2,52E-02	5,98E-01	 	 	ANXA2,PIKFYVE,SNX3,VCP	4
Cell-To-Cell Signaling and Interaction	detachment	Detachment of myeloid cells	2,52E-02	5,98E-01	 	-0,762	NCKAP1L,PTPN6,PTPRC,RHOA	4
Organismal Injury and Abnormalities	morbidity	Morbidity	2,52E-02	5,98E-01	 	 	DUSP1,PYCARD,TNF,TNFRSF1B	4
Cellular Assembly and Organization,Cellular Function and Maintenance	organization	Organization of plasma membrane projections	2,52E-02	5,98E-01	 	 	CAPZB,CFL1,ILK,PLEK	4
Post-Translational Modification	lipidation	Lipidation of protein	2,52E-02	5,98E-01	 	 	GLUL,UGCG,ZDHHC12,ZDHHC21	4
Cancer,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities	unclassifiable B-cell lymphoma with features intermediate between diffuse large B-cell lymphoma and classical Hodgkin lymphoma	Unclassifiable B-cell lymphoma with features intermediate between diffuse large B-cell lymphoma and classical Hodgkin lymphoma	2,52E-02	5,98E-01	 	 	CD79A,MS4A1,POU2F2,PTPRC	4
Connective Tissue Development and Function,Organismal Development,Tissue Development	development	Development of adipose tissue	2,52E-02	5,98E-01	 	 	NCOA3,PARP1,SPI1,TNF	4
Cancer,Cellular Movement,Connective Tissue Disorders,Organismal Injury and Abnormalities	invasion	Invasion of connective tissue cells	2,52E-02	5,98E-01	 	-1,067	CXCR4,GRB2,RAC1,TNF	4
Cellular Development	differentiation	Differentiation of vasculature	2,52E-02	5,98E-01	 	 	CXCR4,MEF2C,PKM,SPI1	4
Cardiovascular Disease,Hematological Disease,Organismal Injury and Abnormalities	microcytic anemia	Microcytic anemia	2,52E-02	5,98E-01	 	1,000	HMOX1,RAC1,RAC2,TNF	4
Cellular Movement	migration	Migration of lymphoma cell lines	2,52E-02	5,98E-01	 	-0,068	HVCN1,MS4A1,NME1,RAC2	4
Cardiovascular System Development and Function,Organ Development,Organ Morphology,Skeletal and Muscular System Development and Function	contractility	Contractility of ventricular myocardium	2,52E-02	5,98E-01	 	-1,067	FKBP1A,MEF2C,TNF,TXNIP	4
Cardiovascular System Development and Function,Cellular Development,Cellular Function and Maintenance,Cellular Growth and Proliferation,Organismal Development,Tissue Development	development	Development of vascular endothelial cells	2,52E-02	5,98E-01	 	 	ANXA2,MEF2C,TNF,WASF2	4
Cell Morphology,Cellular Assembly and Organization,Cellular Development,Cellular Function and Maintenance,Cellular Growth and Proliferation,Nervous System Development and Function,Organismal Development,Tissue Development	myelination	Myelination of axons	2,52E-02	5,98E-01	 	-1,981	ILK,OGT,RAC1,TNFRSF1B	4
Organismal Injury and Abnormalities,Renal and Urological Disease	injury	Injury of renal glomerulus	2,52E-02	5,98E-01	 	1,982	CXCR4,FKBP1A,GRN,TXNIP	4
Cardiovascular System Development and Function,Cell-To-Cell Signaling and Interaction	attachment	Attachment of endothelial cells	2,52E-02	5,98E-01	 	-1,131	ITGB2,PKM,RHOA,TNF	4
Carbohydrate Metabolism,Lipid Metabolism,Small Molecule Biochemistry	synthesis	Synthesis of phosphatidylcholine	2,52E-02	5,98E-01	 	 	DBI,FABP5,SLC44A2,TNF	4
Cell Morphology,Cell-To-Cell Signaling and Interaction,Nervous System Development and Function	plasticity	Plasticity of synapse	2,52E-02	5,98E-01	 	 	MEF2C,RAC1,SLC38A1,TNF	4
Cellular Movement	transendothelial migration	Transendothelial migration of leukemia cell lines	2,52E-02	5,98E-01	 	-1,982	CD99,RAC1,RHOA,TNF	4
Cancer,Cellular Movement,Organismal Injury and Abnormalities,Reproductive System Disease,Tumor Morphology	invasion	Invasion of mammary tumor cells	2,52E-02	5,98E-01	 	 	CXCR4,FLNA,RHOA,SYK	4
Cellular Assembly and Organization,DNA Replication, Recombination, and Repair	quantity	Quantity of chromosomes	2,52E-02	5,98E-01	 	 	H3-3A/H3-3B,MAD1L1,SPI1,YBX1	4
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	chemotaxis	Chemotaxis of PBMCs	2,52E-02	5,98E-01	 	-1,000	CXCR4,LCP1,PPIA,TNF	4
Cellular Development,Embryonic Development,Hematological System Development and Function,Hematopoiesis,Lymphoid Tissue Structure and Development,Organ Development,Organismal Development	maturation	Maturation of thymocytes	2,52E-02	5,98E-01	 	-0,152	CXCR4,PTPN6,PTPRC,RASGRP1	4
Cell-To-Cell Signaling and Interaction	calcium response	Calcium response of cells	2,52E-02	5,98E-01	 	 	CD19,PTPRC,SIGLEC10,SUMO1	4
Cellular Movement	chemokinesis	Chemokinesis	2,52E-02	5,98E-01	 	-1,989	GRB2,RAC1,RAC2,TNF	4
Cell Death and Survival,Embryonic Development	cell viability	Cell viability of embryonic stem cells	2,52E-02	5,98E-01	 	 	HMGA1,NOP53,OGT,PARP1	4
Cellular Development,Cellular Growth and Proliferation	proliferation	Proliferation of thyroid tumor cell lines	2,52E-02	5,98E-01	 	-0,594	CXCR4,IGF2BP3,RAC1,TXNIP	4
Cellular Compromise	acidification	Acidification of cells	2,52E-02	5,98E-01	 	 	HVCN1,PARP1,PKM,TCIRG1	4
Organismal Injury and Abnormalities,Renal and Urological Disease	polyuria	Polyuria	2,52E-02	5,98E-01	Increased	2,000	GRN,ILK,MTSS1,PSAP	4
Cellular Movement	cell rolling	Arrest in cell rolling	2,52E-02	5,98E-01	 	 	GNAI2,ITGB2,ITGB7,TLN1	4
Cellular Function and Maintenance	homeostasis	Homeostasis of red blood cells	2,52E-02	5,98E-01	 	 	GPI,HMOX1,NCKAP1L,PRDX1	4
Nervous System Development and Function,Organ Morphology,Tissue Morphology	quantity	Quantity of brain cells	2,52E-02	5,98E-01	 	-1,964	CXCR4,PSAP,RAC1,SPTAN1	4
Cardiovascular System Development and Function,Cellular Development,Tissue Development	differentiation	Differentiation of endothelial cells	2,52E-02	5,98E-01	 	-0,152	BTG1,CXCR4,HHEX,PKM	4
Nervous System Development and Function	development	Development of nerves	2,52E-02	5,98E-01	 	 	CHD4,ILK,MEF2C,TCIRG1	4
Cellular Movement	diapedesis	Diapedesis	2,52E-02	5,98E-01	 	 	CNN2,ITGB2,LSP1,RHOA	4
Hematological Disease,Organismal Injury and Abnormalities	anisocytosis	Anisocytosis	2,52E-02	5,98E-01	 	1,980	HMOX1,PRDX1,RAC1,RAC2	4
Nervous System Development and Function	remyelination	Remyelination	2,52E-02	5,98E-01	 	-0,689	CXCR4,OGT,TNF,TNFRSF1B	4
Connective Tissue Development and Function,Skeletal and Muscular System Development and Function,Tissue Morphology	quantity	Quantity of osteoblasts	2,52E-02	5,98E-01	 	0,000	CAPNS1,CD47,TNF,TSC22D3	4
Cellular Assembly and Organization	generation	Generation of actin filaments	2,52E-02	5,98E-01	 	 	RAC1,RAC2,RHOA,VASP	4
Cancer,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities	acute leukemia	Acute leukemia	2,57E-02	5,98E-01	 	-0,943	ACP5,ACTB,ACTG1,ADD3,ANXA2,ARID3A,ATP5F1A,BTG1,CD19,CD47,CD52,CD68,CD79A,CD82,CD99,CHD4,CORO1A,CSK,CUX1,CXCR4,EEF1A1,EIF4A1,FGR,FKBP1A,FLNA,GDI2,GOLPH3,GPI,GRN,HCK,HHEX,HLA-DQA1,HLA-DQB1,HLA-DRA,HMGA1,HSPA4,IGF2BP3,ITGAX,ITGB2,JAK1,LSM14A,LY6E,MAD1L1,MAP4K1,MEF2C,MS4A1,MTCH2,MYO1G,NAA50,NCOA3,NDUFA11,NDUFA7,NDUFAB1,NDUFB2,NDUFV2,PARP1,PPHLN1,PPIA,PPP1R7,PSMB2,PSMB8,PTPN1,PTPN6,PTPRC,RAC1,RAC2,RHOA,RNPEPL1,SLC25A5,SLC44A2,SNRNP25,SPI1,SREK1,SYK,TCF4,TLN1,TMSB10/TMSB4X,TNF,TPI1,TSPO,UBE2L3,YBX1,YWHAE,ZEB2	84
Cellular Assembly and Organization,Cellular Function and Maintenance,Organismal Development,Tissue Development	formation	Formation of actin filaments	2,60E-02	5,98E-01	Decreased	-2,358	ACTB,ACTG1,ARPC2,BRK1,CFL1,CORO1A,GNAI2,GNG5,GPI,GRB2,GSN,HCK,MTSS1,NCKAP1L,PAK2,PFDN5,PFN1,PREX1,PYCARD,RAC1,RHOA,S100A10,TNF,TPM3,TWF2,VASP,WASF2,ZYX	28
Infectious Diseases,Organismal Injury and Abnormalities	infection	Infection of mammalia	2,60E-02	5,98E-01	Increased	3,346	CD47,CD82,CXCR4,DDX17,DUSP1,FCMR,FGR,GNAI2,GRB2,GRN,HCK,HLA-DQB1,HMOX1,IFI30,ITGAX,ITGB2,ITGB7,LCP1,PLAC8,PYCARD,RAC2,RHOA,SAMHD1,SERPINB1,TNF,TNFRSF1B,UCP2,UNC93B1	28
Cardiovascular Disease,Connective Tissue Disorders,Dermatological Diseases and Conditions,Immunological Disease,Inflammatory Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	systemic sclerosis	Systemic sclerosis	2,62E-02	5,98E-01	 	 	ACTB,ARPC3,CD19,CD79A,CFL1,CIB1,CKS2,CXCR4,DHRS9,FGR,FIBP,HCK,ILK,ITGB2,ITGB7,JAK1,MS4A1,PARP1,PKM,RAC2,TPI1	21
Cancer,Organismal Injury and Abnormalities	malignant tumor	Refractory malignant tumor	2,62E-02	5,98E-01	 	 	CD19,CD52,CSK,CXCR4,EEF1A1,FDFT1,FDPS,FGR,FKBP1A,HCK,HLA-DRA,HMOX1,JAK1,MS4A1,PARP1,PPIA,PSMB2,PSMB8,PTPRC,TNF,TSPO	21
Gastrointestinal Disease,Inflammatory Disease,Organismal Injury and Abnormalities	gastroenteritis	Gastroenteritis	2,64E-02	5,98E-01	 	1,670	ARHGDIB,CD19,CD47,CD53,CD79A,CORO1A,DHRS9,FKBP1A,GNAI2,HLA-DMB,HLA-DQA1,HLA-DQB1,HMOX1,IKZF3,ITGB7,JAK1,LAPTM5,MAZ,MS4A1,PARK7,PARP1,PKM,PSMB8,PTPN22,PTPRC,PYCARD,RAC1,RHOA,TNF,TNFRSF1B,TSPO,UNC93B1,WIPF1	33
Cell-To-Cell Signaling and Interaction,Inflammatory Response	immune response	Immune response of phagocytes	2,73E-02	5,98E-01	Decreased	-2,951	CD47,CD68,CNN2,FGR,GLRX,GRN,GSN,HCK,HMOX1,HSH2D,ITGAX,ITGB2,MAP4K1,NCKAP1L,PSMB8,PTPRC,SPI1,SYK,TNF,UCP2	20
Digestive System Development and Function,Hepatic System Development and Function,Organ Morphology,Organismal Development	morphology	Morphology of liver	2,73E-02	5,98E-01	 	 	CUX1,DECR1,DUSP1,EIF6,FABP5,FDFT1,GRN,HHEX,IDS,MFSD1,PARP1,PRDX5,PREX1,PSAP,SCP2,SPI1,TKT,TNF,TNFRSF1B,YBX1	20
Neurological Disease,Organismal Injury and Abnormalities,Psychological Disorders	degenerative brain disorder	Degenerative brain disorder	2,73E-02	5,98E-01	 	 	ACTB,CALM1 (includes others),DBI,EEF1A1,EIF4A1,FTL,GRN,GSN,JPT1,MEF2C,NEAT1,PARK7,PFN1,PPIA,PSAP,RHOA,TNF,TSPO,VCP,VIM	20
Nervous System Development and Function	morphology	Morphology of nervous system	2,73E-02	5,98E-01	 	 	BLOC1S2,BTG1,CD47,CFL1,CORO1A,CXCR4,DUSP1,EIF4E2,FLNA,GRN,HHEX,HSPA4,IDS,OGT,PARK7,PEA15,PFN1,PSAP,PSMF1,PTPN1,PTPRC,PYCARD,RAC1,RAP1B,RHOA,SLC44A2,SMARCC1,SPI1,TCF4,TKT,TNF,TNFRSF1B,TPM3,UCP2,UGCG,VIM,YWHAE	37
Cancer,Organismal Injury and Abnormalities	undifferentiated malignant neoplasm	Undifferentiated malignant neoplasm	2,74E-02	5,98E-01	 	 	CD19,CD47,CD68,CD79A,CXCR4,DHRS9,EIF4A1,FKBP1A,FUT8,GAPDH,GPI,HMGA1,IFI30,IGF2BP3,ITGAX,JAK1,PARK7,PARP1,PKM,PSMB2,RHOA,SPTAN1,SYK,TNFRSF1B,TPI1,VIM,ZEB2	27
Cancer,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities	chronic form of lymphocytic leukemia	Chronic form of lymphocytic leukemia	2,74E-02	5,98E-01	 	 	ARL6IP5,CD52,CFL1,DUSP1,FCMR,FGR,HLA-DQA1,HVCN1,IKZF3,ITGAX,ITGB2,MRPL51,MS4A1,MTMR14,PARP1,PPIA,PPM1M,PPP1CA,PTPN1,PTPN18,PTPN22,PTPRC,RFTN1,SYK,TERF2IP,TNF,ZYX	27
Cellular Movement,Immune Cell Trafficking	cell movement	Cell movement of lymphatic system cells	2,76E-02	5,98E-01	 	-1,960	ACTB,CD19,CD47,CD99,CIB1,COMMD8,CORO1A,CUX1,CXCR3,CXCR4,DBNL,FABP5,GNAI2,HMOX1,IGF2BP3,ITGB2,ITGB7,JAK1,LCP1,MALT1,MAP4K1,MYO1G,PFN1,PIKFYVE,PPIA,PYCARD,RAC1,RAC2,RAP1B,RASGRP1,RHOA,SUMO1,SYK,TLN1,TNF,TNFRSF1B,TRAPPC1,UCP2,VASP,WIPF1,ZDHHC12	41
Cell-To-Cell Signaling and Interaction	response	Response of leukemia cell lines	2,83E-02	5,98E-01	Decreased	-2,449	CD47,HMOX1,MS4A1,PSMD4,RHOG,SPI1,TNF,VIM	8
Hematological Disease,Organismal Injury and Abnormalities	polycythemia	Polycythemia	2,83E-02	5,98E-01	 	1,501	CUX1,HMGA1,JAK1,PRDX1,PTPN6,RAC1,RAC2,RHOA	8
Cancer,Organismal Injury and Abnormalities,Respiratory Disease	non-small cell lung carcinoma	Stage I metastatic non-small cell lung carcinoma	2,83E-02	5,98E-01	 	 	EEF1A1,EIF4A1,FTL,IFI30,MYL12A,PPIA,TMSB10/TMSB4X,TPT1	8
Cellular Development,Cellular Growth and Proliferation	proliferation	Proliferation of neuroblastoma cell lines	2,83E-02	5,98E-01	 	-0,287	CXCR4,HMGA1,ILK,JAK1,PCLAF,RHOA,SMARCE1,TNF	8
Connective Tissue Disorders,Hematological Disease,Organismal Injury and Abnormalities	thalassemia	Thalassemia	2,83E-02	5,98E-01	 	 	CD52,FDFT1,FDPS,FKBP1A,JAK1,PPIA,SPI1,TNF	8
Cellular Movement	trafficking	Trafficking of cells	2,83E-02	5,98E-01	 	-0,796	CXCR4,GNAI2,ITGB2,RAC1,RAP1B,TNF,TNFRSF1B,VASP	8
Organismal Functions	movement	Movement of rodents	2,83E-02	5,98E-01	 	 	ARL6IP5,DECR1,HMOX1,IDS,PARK7,PSAP,TLN1,TNF	8
Cell Signaling,Cellular Assembly and Organization,Post-Translational Modification,Protein Synthesis	nucleation	Nucleation of actin	2,83E-02	5,98E-01	 	 	ACTR3,ARPC1B,ARPC3,ARPC5,CORO1A,FGR,GSN,HCK	8
Cell Cycle	S phase	S phase of tumor cell lines	2,83E-02	5,98E-01	 	1,664	EMP3,HMOX1,MTCH2,PCLAF,PTPN6,SPI1,TNF,TSC22D3	8
Cellular Development,Cellular Growth and Proliferation,Connective Tissue Development and Function	development	Development of fibroblast cell lines	2,83E-02	5,98E-01	 	-0,447	GNAI2,GOLPH3,GRN,PTPN1,PTPN6,RAC1,RHOA,VDAC1	8
Cell Signaling,Molecular Transport,Nucleic Acid Metabolism,Small Molecule Biochemistry	concentration	Concentration of cyclic AMP	2,83E-02	5,98E-01	 	-0,349	ANXA4,CD47,CXCR4,GNAI2,PTPN6,PTPRC,RAC1,TNF	8
Neurological Disease,Organismal Injury and Abnormalities,Psychological Disorders	cerebral degeneration	Cerebral degeneration	2,83E-02	5,98E-01	 	 	ACTB,CALM1 (includes others),DBI,EEF1A1,EIF4A1,GRN,GSN,JPT1,MEF2C,NEAT1,PARK7,PFN1,PPIA,PSAP,RHOA,TNF,TSPO,VCP,VIM	19
Cancer,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities	B-cell leukemia	B-cell leukemia	2,93E-02	5,98E-01	 	 	ACP5,ADD3,BTG1,CD19,CD52,CD79A,CHD4,CSK,CXCR4,DUSP1,FCMR,FKBP1A,GOLPH3,GPI,HCK,HHEX,HLA-DQA1,HVCN1,IKZF3,ITGB2,JAK1,MS4A1,MTMR14,MYO1G,PARP1,PPIA,PPM1M,PPP1CA,PSMB2,PTPN1,PTPN18,PTPN22,PTPRC,RNPEPL1,SNRNP25,SYK,TERF2IP,TNF,ZEB2,ZYX	40
Cellular Development,Hematological System Development and Function,Lymphoid Tissue Structure and Development	maturation	Maturation of leukocytes	2,94E-02	5,98E-01	 	-1,821	CD19,CD47,CSK,CXCR4,HLA-DRA,HMOX1,ITGB2,LCP1,MAD1L1,POU2F2,PTPN6,PTPRC,RASGRP1,RHOA,TLE5,TNF,TNFRSF1B,ZEB2	18
Cancer,Organismal Injury and Abnormalities	tumor	Early stage tumor	2,94E-02	5,98E-01	 	 	ANXA2,CD19,CD79A,EEF1A1,EIF4A1,FDFT1,FDPS,FKBP1A,FTL,IFI30,MS4A1,MYL12A,NME2,PARP1,PPIA,PSMB2,TMSB10/TMSB4X,TPT1	18
Cellular Function and Maintenance	internalization	Internalization by tumor cell lines	3,04E-02	5,98E-01	Decreased	-3,508	ATP6V0D1,ATP6V1F,CD47,EFHD2,HMOX1,ILK,LY6E,NME1,NME2,OGT,PSMD4,RAC1,RHOA,RHOG,SPI1,TNF,VIM	17
Neurological Disease,Organismal Injury and Abnormalities,Psychological Disorders	amyotrophic lateral sclerosis	Amyotrophic lateral sclerosis	3,04E-02	5,98E-01	 	 	ACTB,CALM1 (includes others),DBI,EEF1A1,EIF4A1,GRN,GSN,JPT1,NEAT1,PARK7,PFN1,PPIA,PSAP,RHOA,TSPO,VCP,VIM	17
Cardiovascular System Development and Function	morphology	Morphology of vasculature	3,04E-02	5,98E-01	 	 	CXCR4,EHD3,FLNA,HHEX,HMOX1,MEF2C,PARP1,PPIA,PSAP,RAC1,RHOG,SYK,TNF,TNFRSF1B,UCP2,VIM,WASF2	17
Cellular Development,Tissue Development	differentiation	Differentiation of epithelial tissue	3,04E-02	5,98E-01	Decreased	-2,408	BTG1,CXCR4,FABP5,HHEX,MEF2C,NCOA3,NME2,PKM,PYCARD,RAC1,RHOA,TAF10,TAGLN2,TNF,TXNIP,UGCG,ZEB2	17
Infectious Diseases,Organismal Injury and Abnormalities	infection	Infection by Retroviridae	3,04E-02	5,98E-01	Decreased	-4,542	ACTR3,ADK,ANXA2,ATP5F1B,CARD16,CD19,CLTA,CXCR4,FDFT1,FDPS,FKBP1A,GABARAPL2,GOLPH3,GRB2,H3-3A/H3-3B,HSPA4,ITGB7,JAK1,LAPTM5,MS4A1,MT2A,NDUFS6,PARP1,PNRC1,POLR2L,PSMA2,PSMA5,PSMD4,PTPRC,RAB1B,RAP1B,SAMHD1,SAMM50,SFT2D1,SPTAN1,SUB1,SUMO2,TAGLN2,TLE5,TNF,TNFRSF1B,TPT1,TRAPPC1,TSPO,UBE2L3,YBX1,ZYX	47
Amino Acid Metabolism,Post-Translational Modification,Small Molecule Biochemistry	phosphorylation	Phosphorylation of L-tyrosine	3,09E-02	5,98E-01	 	-1,951	CSK,FGR,HCK,ITGB2,JAK1,PAK2,PTPN6,PTPRC,SYK	9
Developmental Disorder,Hereditary Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Duchenne muscular dystrophy	Duchenne muscular dystrophy	3,09E-02	5,98E-01	 	 	CAP1,CFL1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,IFI30,PSAP,S100A11	9
Cell Morphology,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	cell spreading	Cell spreading of phagocytes	3,09E-02	5,98E-01	Decreased	-2,157	CNN2,CORO1A,FGR,HCK,ITGB2,RHOA,SYK,TLN1,TNF	9
Cell-To-Cell Signaling and Interaction,Cellular Assembly and Organization	quantity	Quantity of actin stress fibers	3,09E-02	5,98E-01	 	-1,129	CFL1,CSK,FLNA,GLUL,NME1,PIKFYVE,RAC1,RHOA,SPTAN1	9
